seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
657,2574;81,48148;20,28632
660,2758;81,48148;20,39552
663,3021;81,48148;20,90551
666,3139;77,77778;20,81101
669,3172;81,48148;20,71763
672,3359;81,48148;20,82292
675,3446;77,77778;20,73016
678,3615;77,77778;20,83452
681,3727;81,48148;21,13381
684,3856;81,48148;21,04077
687,3986;81,48148;20,94855
690,416;81,48148;21,24323
693,4278;77,77778;21,15096
696,437;77,77778;21,05957
699,4426;74,07407;21,35033
702,4623;74,07407;21,44836
705,464;70,37037;21,3571
708,4645;70,37037;21,45485
711,4859;74,07407;21,36374
714,4877;77,77778;21,4606
717,4962;77,77778;21,55644
720,504;74,07407;21,65151
723,5648;74,07407;21,55992
726,5691;77,77778;21,65428
729,5755;74,07407;21,7478
732,5996;70,37037;21,84003
735,6111;70,37037;21,75062
738,6321;74,07407;21,84218
741,6405;77,77778;21,75358
744,6628;77,77778;21,84434
747,6774;74,07407;21,75626
750,684;74,07407;21,84674
753,6992;70,37037;21,93625
756,7076;70,37037;22,02524
759,7263;66,66666;21,93773
762,7281;70,37037;21,85139
765,7374;70,37037;21,76551
768,7407;77,77778;21,85392
771,7505;74,07407;21,94146
774,7715;74,07407;22,028
777,7932;74,07407;21,94242
780,8043;77,77778;22,02857
783,8085;81,48148;21,94414
786,8258;74,07407;22,36836
789,8316;74,07407;22,28323
792,8628;70,37037;22,19804
795,8689;74,07407;22,11419
798,8738;74,07407;22,19792
801,8903;74,07407;22,28069
804,8998;66,66666;22,19738
807,9097;55,55556;22,27972
810,9283;55,55556;22,3612
813,9476;51,85185;22,44207
816,9669;51,85185;22,35913
819,9884;51,85185;22,43934
823,0064;59,25926;22,68107
826,0286;62,96296;22,7595
829,0318;62,96296;22,67706
832,0504;62,96296;23,07553
835,0508;77,77778;23,31195
838,0695;77,77778;23,22799
841,0857;66,66666;23,14469
844,1585;59,25926;23,21839
847,1651;66,66666;23,13599
850,184;66,66666;23,05383
853,1905;70,37037;22,9726
856,2008;74,07407;22,89182
859,2063;62,96296;23,12211
862,2117;59,25926;23,04152
865,2212;55,55556;22,96137
868,2373;55,55556;22,88161
871,2521;62,96296;22,95547
874,2684;37,03704;23,02878
877,2852;40,74074;22,94959
880,3135;40,74074;22,87064
883,3212;55,55556;22,79276
886,3226;40,74074;22,86602
889,3241;40,74074;22,93877
892,3398;37,03704;22,86124
895,3593;40,74074;22,78415
898,3624;48,14815;22,70798
901,3847;44,44444;22,63185
904,3871;40,74074;22,55671
907,3967;44,44444;22,4819
910,4139;44,44444;22,40739
913,4185;51,85185;22,33369
916,4266;51,85185;22,26037
919,4334;59,25926;22,18758
922,45;59,25926;22,11502
925,4621;59,25926;22,33119
928,4707;55,55556;22,25883
931,4749;51,85185;22,33018
934,4774;48,14815;22,25843
937,4908;48,14815;22,18689
940,5853;44,44444;22,25565
943,5901;48,14815;22,18477
946,6094;51,85185;22,11401
949,6317;48,14815;22,04364
952,6923;51,85185;21,97282
955,7132;48,14815;22,04287
958,7291;51,85185;21,97353
961,7322;51,85185;22,1822
964,7452;55,55556;22,11292
967,7475;59,25926;22,04432
970,7676;59,25926;21,97574
973,7828;59,25926;21,90769
976,8112;59,25926;21,83977
979,8147;59,25926;21,90891
982,817;59,25926;21,84198
985,835;62,96296;21,77511
988,8502;62,96296;21,84355
991,8569;55,55556;21,77733
994,8657;51,85185;21,97952
997,8774;51,85185;22,0468
1000,877;51,85185;21,98071
1003,908;51,85185;21,91435
1006,911;51,85185;21,98142
1009,922;59,25926;21,91588
1012,926;59,25926;21,85088
1015,93;62,96296;21,78628
1018,941;74,07407;21,72189
1021,952;70,37037;21,65791
1024,964;70,37037;21,72435
1027,985;70,37037;21,6605
1031,001;74,07407;21,72645
1034,013;74,07407;21,66317
1037,038;74,07407;21,59999
1040,041;74,07407;21,66582
1043,063;81,48148;21,60304
1046,085;77,77778;21,6681
1049,094;77,77778;21,60595
1052,113;77,77778;21,67069
1055,123;77,77778;21,60886
1058,125;77,77778;21,67356
1061,132;55,55556;21,73779
1064,136;51,85185;21,67644
1067,177;55,55556;21,61466
1070,189;51,85185;21,55383
1073,213;55,55556;21,49309
1076,219;55,55556;21,80473
1079,243;55,55556;21,74364
1082,262;51,85185;21,68299
1085,276;48,14815;21,62276
1088,318;44,44444;21,68485
