0,4172363;40,74074;0
3,417969;100;0
6,438843;100;0
9,449585;100;0
12,46765;100;0
15,49524;100;0
18,51404;100;0
seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;9
number of obstacles;93
ad hoc network;1
adaptive network;0

Logs:
1,002197;100;0
4,020752;100;0
7,023926;100;0
10,05359;100;0
13,05847;100;0
16,0658;100;0
19,08643;100;0
22,08691;100;6,036757
25,09387;100;5,313382
28,09973;100;4,745004
31,10803;100;4,286138
34,12952;100;3,906687
37,15137;100;3,588922
40,16748;100;3,319435
43,19568;100;3,086729
46,20374;100;2,88577
49,2334;100;2,708189
52,2478;100;2,551941
55,25684;100;2,412974
58,26648;100;2,288337
61,26794;100;2,176233
64,28088;100;2,07423
67,29089;100;3,962894
70,29895;100;3,793324
73,3252;100;3,636767
76,32764;100;3,493711
79,33057;100;5,042193
82,34656;100;6,476693
85,34985;100;7,810988
88,36145;100;9,053722
91,37708;100;10,21409
94,39441;100;11,3001
97,40247;100;12,32002
100,4128;100;14,60637
103,4189;100;15,47105
106,4318;100;15,03311
109,4355;100;14,62048
112,4523;100;14,22826
115,4567;100;13,85801
118,4633;100;13,5063
121,4779;100;13,17112
124,4856;100;13,92397
127,4904;100;13,5958
130,5028;100;13,28196
133,5176;100;13,98068
136,5201;100;14,64985
139,5353;100;17,19995
142,548;100;16,83644
145,5533;100;17,40484
148,557;100;17,05294
151,5598;100;18,47456
154,5679;100;18,11502
157,5717;100;17,76969
160,5883;100;17,43589
163,5975;100;17,93018
166,6105;96,2963;17,60594
169,6107;92,59259;17,2945
172,611;92,59259;16,9939
175,6139;88,88889;16,70331
178,6251;92,59259;16,42173
181,6384;85,18519;19,08554
184,6647;66,66666;18,77276
187,6733;66,66666;19,18227
190,6747;66,66666;18,88033
193,6865;70,37037;18,58673
196,6937;88,88889;18,30257
199,694;88,88889;18,02759
202,7052;88,88889;18,41755
205,7158;88,88889;18,14801
208,7358;85,18519;19,16298
211,7478;51,85185;19,52008
214,7604;55,55556;19,8671
217,7726;55,55556;20,20457
220,7804;70,37037;20,53322
223,8008;66,66666;20,85188
226,817;66,66666;21,16243
229,8221;62,96296;20,88572
232,8284;74,07407;21,18871
235,8433;44,44444;20,91785
238,8505;48,14815;20,65448
