seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,980313;96,66666;0
5,981405;96,66666;0
8,986368;96,66666;0
11,98689;90;0
14,98859;90;0
17,99091;90;0
20,99456;90;0
23,9952;90;0
26,99846;90;0
30,00001;86,66666;0
33,00135;90;0
36,00143;90;0
39,00606;90;0
42,00753;90;0
45,00814;93,33334;0
48,00953;86,66666;0
51,01354;83,33334;0
54,01616;83,33334;0
57,0167;83,33334;0
60,02223;83,33334;0
63,02866;80;0
66,02886;83,33334;0
69,03339;83,33334;0
72,03719;83,33334;0
75,04143;80;0
78,04498;83,33334;0
81,05046;83,33334;0
84,05506;86,66666;1,427636
87,05535;86,66666;2,756867
90,05589;83,33334;2,665012
93,05762;83,33334;2,579047
96,062;80;2,498386
99,06284;80;2,422704
102,0654;80;2,351433
105,0684;80;2,284226
108,0726;80;2,220729
111,0774;73,33334;2,160655
114,0796;83,33334;3,155691
117,0832;83,33334;4,099649
120,0868;83,33334;3,99711
123,092;83,33334;4,874402
126,0926;83,33334;4,758407
129,097;80;4,647669
132,1024;80;4,541932
135,1059;76,66666;4,440959
138,1061;76,66666;4,344485
141,1101;76,66666;5,952799
144,1133;76,66666;7,494104
147,1147;76,66666;8,156899
150,118;76,66666;9,592454
153,1188;73,33334;9,404461
156,1217;73,33334;9,992202
159,1218;70;9,803812
162,1235;66,66666;9,622293
165,1266;70;9,447299
168,1288;70;9,992341
171,1295;70;9,817125
174,134;70;11,026
177,1417;73,33334;11,51621
180,1482;76,66666;13,32236
183,1516;73,33334;14,41429
186,154;73,33334;14,18181
189,1568;73,33334;13,95667
192,1594;70;14,36308
195,1594;73,33334;14,75717
198,1631;66,66666;15,13904
201,1677;70;14,91293
204,1719;70;14,6935
207,1756;66,66666;15,05969
210,1758;66,66666;15,41567
213,176;66,66666;15,19871
216,1766;63,33333;14,98775
219,1803;66,66666;15,32984
222,184;66,66666;15,1226
225,1891;66,66666;14,92079
228,1916;66,66666;15,25034
231,1947;70;15,05225
234,1951;73,33334;15,3718
237,198;73,33334;15,6831
240,2037;73,33334;15,98643
243,2065;73,33334;16,28246
246,2109;73,33334;16,57116
249,2113;73,33334;16,37165
252,2137;73,33334;16,17676
255,2171;73,33334;16,92677
258,222;73,33334;17,65922
261,2243;73,33334;17,45626
264,2267;73,33334;17,25791
267,2286;73,33334;17,5131
270,2331;73,33334;17,31838
273,235;73,33334;17,12812
276,2398;73,33334;16,9418
279,2418;73,33334;16,75967
282,2437;73,33334;17,00658
285,2459;73,33334;17,24828
288,2496;73,33334;17,06854
291,2499;73,33334;16,89271
294,2535;70;17,5359
297,2556;70;18,16619
300,2587;73,33334;18,38415
303,2595;73,33334;18,20223
306,265;70;18,02361
309,2677;73,33334;17,84861
312,2719;70;18,06118
315,2729;66,66666;18,26989
318,2773;66,66666;18,47446
321,2801;66,66666;18,30179
324,2874;66,66666;18,50211
327,2918;70;18,69891
330,294;70;19,61889
333,2944;70;19,80231
336,2967;70;19,98236
339,2994;70;20,15918
342,3008;73,33334;20,333
345,3017;73,33334;20,15629
348,308;70;19,98232
351,3119;66,66666;19,81146
354,3119;66,66666;19,64371
357,3162;66,66666;19,47855
360,3168;66,66666;19,64937
363,3192;66,66666;19,487
366,3234;66,66666;19,32718
369,3274;66,66666;19,16998
372,3318;66,66666;19,0153
375,3329;66,66666;19,18297
378,3336;63,33333;19,348
381,3385;66,66666;19,8249
384,3387;70;19,67015
387,3414;70;19,82747
390,3456;70;19,67487
393,3505;70;19,82964
396,3541;70;19,67937
399,362;70;20,13211
402,3645;66,66666;20,57836
405,3662;70;21,01803
408,3683;73,33334;21,15737
411,3724;73,33334;21,00287
414,3741;76,66666;20,85073
417,3765;76,66666;20,70074
420,3807;76,66666;20,5528
423,3853;76,66666;20,9738
426,3903;73,33334;21,10742
429,3976;73,33334;20,9596
432,4148;73,33334;21,09086
435,4189;73,33334;20,94535
438,4213;70;21,07562
441,4272;76,66666;21,20395
444,428;73,33334;21,06078
447,4297;70;20,91949
450,4321;63,33333;20,78005
453,4365;63,33333;20,90701
456,437;66,66666;20,76957
459,439;66,66666;20,89505
462,4431;66,66666;20,75931
465,4458;63,33333;21,14102
468,4478;66,66666;21,00554
471,4485;70;21,38092
474,4524;70;21,49847
477,4581;73,33334;21,36313
480,4622;76,66666;21,47931
483,4659;76,66666;21,84229
486,4682;73,33334;22,20084
489,4726;76,66666;22,30973
492,4729;73,33334;22,17381
495,474;73,33334;22,0395
498,4748;76,66666;22,14756
501,4792;76,66666;22,01487
504,4831;76,66666;21,88379
507,4833;76,66666;21,75441
510,4886;70;22,09648
513,4928;76,66666;21,9672
516,493;73,33334;22,07194
519,494;76,66666;21,94443
522,4941;73,33334;22,0481
525,4951;73,33334;22,15054
528,4986;73,33334;22,02466
531,5036;73,33334;21,90014
534,5067;70;22,2261
537,5089;73,33334;22,10196
540,509;73,33334;21,97928
543,5091;73,33334;22,07875
546,512;73,33334;21,95743
549,5156;76,66666;21,83741
552,5207;76,66666;21,71865
555,5264;76,66666;22,03315
558,5322;76,66666;22,12943
561,5394;76,66666;22,43832
564,5398;76,66666;22,53163
567,5431;76,66666;22,4124
570,5433;76,66666;22,50487
573,5465;76,66666;22,38703
576,5477;76,66666;22,47863
579,549;73,33334;22,56927
582,5514;73,33334;22,86493
585,5554;73,33334;23,1575
588,557;66,66666;23,0394
591,5619;63,33333;22,92237
594,5698;66,66666;23,00823
597,5713;66,66666;23,09348
600,5748;66,66666;23,1778
603,5769;66,66666;23,06251
606,5805;66,66666;23,14614
609,5821;66,66666;23,03217
612,5829;70;22,91935
615,5851;73,33334;22,80757
618,5892;73,33334;22,69681
621,5919;76,66666;22,58717
624,5948;76,66666;22,47857
627,5955;76,66666;22,56231
630,5974;76,66666;22,4549
633,6003;76,66666;22,53787
636,605;76,66666;22,61999
639,6088;76,66666;22,51376
642,6134;70;22,4085
645,6169;66,66666;22,30425
648,6175;66,66666;22,38608
651,6182;66,66666;22,28299
654,6198;66,66666;22,36413
657,6199;66,66666;22,2621
660,6245;66,66666;22,34249
