seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,980772;96,66666;0
5,980991;96,66666;0
8,981766;96,66666;0
11,98207;90;0
14,9824;90;0
17,98241;90;0
20,98335;90;0
23,98367;90;0
26,98457;90;0
29,98529;86,66666;0
32,98619;90;0
35,98695;90;0
38,98803;90;0
41,98815;90;0
44,98876;93,33334;0
47,98901;86,66666;0
50,9892;83,33334;0
53,98954;83,33334;0
56,99013;83,33334;0
59,99028;83,33334;0
62,99077;80;0
65,99183;83,33334;0
68,99287;83,33334;0
71,99456;83,33334;0
74,99551;80;0
77,99664;83,33334;0
80,99782;83,33334;0
83,99789;86,66666;1,428607
86,99857;86,66666;2,758666
89,99925;83,33334;2,666689
93,00033;83,33334;2,580636
96,00069;80;2,499982
99,00146;80;2,424206
102,0026;80;2,352882
105,0027;80;2,285655
108,0029;80;2,222162
111,0041;73,33334;2,162083
114,0044;83,33334;3,157774
117,0046;83,33334;4,102403
120,0051;83,33334;3,999829
123,0061;83,33334;4,877808
126,0069;83,33334;4,761645
129,0073;80;4,650899
132,0092;80;4,545138
135,0103;76,66666;4,444106
138,0104;73,33334;4,347498
141,012;73,33334;5,956941
144,0129;73,33334;7,49933
147,0143;73,33334;8,162472
150,0153;73,33334;9,59902
153,0156;70;9,410803
156,0167;70;9,998928
159,0173;66,66666;9,810251
162,0183;60;9,628543
165,0191;66,66666;9,45345
168,0197;66,66666;9,998829
171,0201;66,66666;9,823407
174,0201;66,66666;10,34363
177,0213;73,33334;10,84616
180,0223;70;12,6651
183,0225;66,66666;13,7688
186,0231;66,66666;13,5467
189,0232;66,66666;13,3317
192,0233;66,66666;13,74833
195,0245;66,66666;14,15207
198,025;63,33333;13,93763
201,0255;66,66666;14,32654
204,0256;66,66666;14,11587
207,0266;66,66666;14,49089
210,0273;70;14,85521
213,0273;70;14,64601
216,0282;66,66666;14,44256
219,0284;66,66666;14,24473
222,0294;66,66666;14,05219
225,0295;66,66666;13,86485
228,0299;63,33333;14,20866
231,0302;63,33333;14,02414
234,0304;63,33333;13,84436
237,0304;63,33333;14,1754
240,031;63,33333;14,99806
243,0321;63,33333;16,29415
246,0331;63,33333;16,58314
249,034;63,33333;16,3833
252,0346;66,66666;16,66438
255,0356;66,66666;16,93881
258,0363;66,66666;17,20688
261,0363;70;17,92854
264,0367;70;17,72481
267,0376;70;17,52562
270,0381;70;17,33088
273,0382;70;17,57996
276,0388;70;17,38886
279,0396;70;17,20186
282,0408;70;17,86975
285,042;66,66666;18,1026
288,0421;66,66666;17,91405
291,0432;63,33333;18,14163
294,0441;63,33333;17,95649
297,0443;63,33333;18,17911
300,0445;63,33333;17,99733
303,0456;63,33333;18,21508
306,0466;63,33333;18,03647
309,0469;66,66666;17,86136
312,0474;66,66666;19,22785
315,0481;66,66666;19,42561
318,0491;66,66666;19,24231
321,0496;63,33333;19,43625
324,0497;66,66666;19,2563
327,0508;66,66666;19,0796
330,0515;66,66666;19,6333
333,0523;60;19,81671
336,0532;60;19,63975
339,0536;60;19,46595
342,0554;66,66666;19,29512
345,0561;66,66666;19,82286
348,0572;66,66666;19,65195
351,0575;66,66666;19,48399
354,0586;66,66666;19,31884
357,0598;70;19,82861
360,0602;70;19,66338
363,0622;70;19,50079
366,0633;70;19,34092
369,0637;70;19,18368
372,0642;70;19,3515
375,0643;66,66666;19,19671
378,0655;66,66666;19,04432
381,0665;66,66666;19,52415
384,0714;63,33333;19,99628
387,0724;63,33333;19,84125
390,0728;63,33333;19,68863
393,0748;60;19,84355
396,0763;63,33333;19,69318
399,0772;66,66666;19,84578
402,0782;66,66666;19,69766
405,0791;63,33333;19,55174
408,0797;63,33333;19,70203
411,0799;66,66666;19,85016
414,0802;70;19,99613
417,0822;70;19,8522
420,0836;70;19,99602
423,0841;70;20,13784
426,0849;66,66666;19,99601
429,0854;66,66666;20,13585
432,0859;73,33334;19,99603
435,0865;73,33334;19,85812
438,0874;70;19,72209
441,0883;66,66666;19,85997
444,0885;66,66666;19,99601
447,0898;66,66666;20,13018
450,0898;66,66666;19,99601
453,0901;66,66666;20,12845
456,0914;66,66666;20,5222
459,0924;70;20,38805
462,0933;70;20,25565
465,0935;70;20,64101
468,0941;70;21,02142
471,0946;70;20,88752
474,0948;73,33334;20,75534
477,0952;80;21,12786
480,0959;80;20,99581
483,0959;70;20,86542
486,097;70;21,23033
489,0984;70;21,10005
492,0985;70;20,97141
495,0987;70;21,0867
498,0988;70;21,44153
501,0992;70;21,31314
504,0994;70;21,1863
507,0995;70;21,06096
510,1006;66,66666;21,17229
513,1007;66,66666;21,0485
516,101;66,66666;20,92614
519,1012;66,66666;20,80519
522,1019;63,33333;20,68562
525,1022;60;20,56742
528,1025;70;20,90503
531,1038;66,66666;20,7869
534,1045;66,66666;20,67011
537,1053;66,66666;20,77805
540,1066;66,66666;21,10694
543,1073;66,66666;21,43223
546,1077;63,33333;21,31448
549,1079;63,33333;21,19802
552,1085;63,33333;21,30016
555,1095;63,33333;21,40118
558,1104;63,33333;21,28611
561,1115;63,33333;21,17226
564,113;70;21,48506
567,113;70;21,583
570,1135;70;21,46941
573,1149;66,66666;21,35697
576,1154;63,33333;21,24574
579,1157;70;21,13568
582,1163;66,66666;21,43901
585,1174;63,33333;21,32905
588,1183;63,33333;21,22022
591,1188;63,33333;21,11251
594,1191;63,33333;21,00589
597,1204;63,33333;21,10127
600,121;66,66666;20,99577
603,1218;66,66666;21,09027
606,1222;70;20,98587
609,1228;70;21,2765
612,1235;70;21,56428
615,1243;70;21,45908
618,1248;70;21,54905
621,1259;70;21,44493
624,126;70;21,53411
627,1269;70;21,43107
630,1278;70;21,51944
633,1293;70;21,41743
636,1297;70;21,88233
639,1299;70;21,77961
642,1301;70;21,67785
645,1311;70;21,94903
648,1317;70;21,84741
651,1323;70;21,74673
654,1332;70;21,64697
657,1336;70;21,54813
660,1337;70;21,4502
