seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
654,1049;55,55556;19,16105
657,1224;55,55556;19,07306
660,1243;55,55556;18,98632
663,1323;51,85185;19,10127
666,1453;51,85185;19,01487
669,1639;51,85185;19,12835
672,1766;51,85185;19,24097
675,1918;51,85185;19,15505
678,212;51,85185;19,06975
681,2122;51,85185;18,98577
684,2324;51,85185;18,90196
687,2362;51,85185;19,01336
690,2454;51,85185;18,93047
693,2643;51,85185;19,23268
696,2795;51,85185;19,1494
699,2891;51,85185;19,25765
702,2923;51,85185;19,1753
705,3028;51,85185;19,2825
708,3273;51,85185;19,3884
711,3331;51,85185;19,49391
714,346;51,85185;19,59834
717,3561;51,85185;19,70198
720,3634;51,85185;19,61973
723,3741;51,85185;19,90671
726,3911;51,85185;19,82403
729,4054;51,85185;19,74211
732,4098;51,85185;19,66112
735,4389;51,85185;19,58014
738,4483;51,85185;19,50035
741,4484;51,85185;19,42145
744,4692;51,85185;19,52174
747,4711;51,85185;19,44334
750,4877;51,85185;19,36518
753,5331;51,85185;19,28692
756,5507;48,14815;19,38623
759,5731;48,14815;19,48463
762,5828;48,14815;19,40773
765,5868;44,44444;19,33158
768,5955;48,14815;19,42938
771,6188;44,44444;19,35325
774,6308;40,74074;19,278
777,6461;37,03704;19,54617
780,6586;37,03704;19,64153
783,676;33,33333;19,56591
786,6856;37,03704;19,66055
789,7072;40,74074;19,75416
792,7105;40,74074;19,67932
795,7242;44,44444;19,60478
798,7275;48,14815;19,53106
801,7366;48,14815;19,45776
804,7447;44,44444;19,38503
807,7637;44,44444;19,31258
810,7789;48,14815;19,40521
813,7859;48,14815;19,33351
816,8016;48,14815;19,26212
819,8254;48,14815;19,67899
822,8272;40,74074;19,76924
825,8306;40,74074;19,69734
828,8508;37,03704;19,62557
831,8602;37,03704;19,55457
834,871;44,44444;19,48405
837,8893;37,03704;19,41386
840,9038;37,03704;19,34426
843,9173;40,74074;19,27519
846,9351;40,74074;19,20651
849,9427;40,74074;19,13855
852,9493;40,74074;19,38372
855,9573;40,74074;19,31561
858,9837;44,44444;19,24755
861,9994;44,44444;19,18021
865,0223;44,44444;19,11319
868,0311;40,74074;19,04694
871,0389;44,44444;19,13424
874,0609;44,44444;19,06808
877,0804;44,44444;19,15446
880,0827;44,44444;19,24062
883,1017;25,92593;19,17484
886,1163;29,62963;19,10961
889,12;29,62963;19,04505
892,1387;40,74074;18,98061
895,1555;44,44444;19,06559
898,1627;40,74074;19,00175
901,1816;40,74074;18,9381
904,1913;40,74074;19,02252
907,2042;48,14815;18,95935
910,265;48,14815;18,8956
913,2734;48,14815;18,97935
916,2941;48,14815;18,91678
919,2954;48,14815;18,85502
922,3112;48,14815;18,79337
925,3333;37,03704;19,02017
928,3563;44,44444;18,95824
931,3689;48,14815;18,89692
934,3762;51,85185;18,97879
937,3924;51,85185;18,91773
940,4059;51,85185;18,99889
943,4244;51,85185;19,07943
946,4323;51,85185;19,01879
949,4413;51,85185;18,95852
952,4464;51,85185;18,8987
955,4584;48,14815;18,97867
958,4615;48,14815;18,91921
961,4726;51,85185;18,85996
964,4874;55,55556;18,80101
967,5075;55,55556;19,01794
970,5163;51,85185;18,95898
973,5372;55,55556;18,90015
976,5503;55,55556;18,97837
979,5676;55,55556;18,91991
982,5872;55,55556;18,99747
985,6094;55,55556;18,93921
988,6283;55,55556;19,01625
991,6368;55,55556;18,95855
994,6663;55,55556;19,03486
997,6884;55,55556;19,24449
1000,697;55,55556;19,18662
1003,704;55,55556;19,26198
1006,713;55,55556;19,20441
1009,726;55,55556;19,14711
1012,741;55,55556;19,22176
1015,756;55,55556;19,16471
1018,76;51,85185;19,10819
1021,783;51,85185;19,05167
1024,794;51,85185;19,12579
1027,809;51,85185;19,19942
1030,825;51,85185;19,40193
1033,831;51,85185;19,34551
1036,834;51,85185;19,2895
1039,835;51,85185;19,23382
1042,856;51,85185;19,30596
1045,873;51,85185;19,37775
1048,88;51,85185;19,32221
1051,89;48,14815;19,26691
1054,91;48,14815;19,33814
1057,943;48,14815;19,2827
1060,947;44,44444;19,22811
1063,959;44,44444;19,29898
1066,976;44,44444;19,36939
1069,996;44,44444;19,31471
1073,003;44,44444;19,26059
1076,022;44,44444;19,33045
1079,038;44,44444;19,27642
1082,054;44,44444;19,34592
1085,062;37,03704;19,2923
1088,085;37,03704;19,36124
1091,088;40,74074;19,43015
1094,088;51,85185;19,49874
1097,09;51,85185;19,44539
1100,09;51,85185;19,51356
1103,092;48,14815;19,46045
1106,105;48,14815;19,52798
1109,123;44,44444;19,47485
1112,134;48,14815;19,42212
1115,139;40,74074;19,48936
1118,14;40,74074;19,43704
1121,142;48,14815;19,50392
1124,16;48,14815;19,57016
1127,183;44,44444;19,51768
1130,184;48,14815;19,46586
1133,206;48,14815;19,5316
1136,212;48,14815;19,47993
1139,227;51,85185;19,42838
1142,242;51,85185;19,37709
1145,261;51,85185;19,32601
1148,282;51,85185;19,50741
1151,284;51,85185;19,57236
1154,3;51,85185;19,52122
1157,311;51,85185;19,47043
1160,329;44,44444;19,41978
1163,349;44,44444;19,36937
1166,365;44,44444;19,31927
1169,381;44,44444;19,4975
1172,397;44,44444;19,44734
1175,406;44,44444;19,39756
1178,413;48,14815;19,34805
1181,417;48,14815;19,41173
1184,427;51,85185;19,36238
1187,439;51,85185;19,53785
1190,443;40,74074;19,48855
1193,451;37,03704;19,55114
1196,453;33,33333;19,5021
1199,455;33,33333;19,45327
1202,469;40,74074;19,62628
1205,484;40,74074;19,57719
1208,488;37,03704;19,52854
1211,508;40,74074;19,47985
1214,514;44,44444;19,54143
1217,535;44,44444;19,60245
1220,55;48,14815;19,55403
1223,557;40,74074;19,50596
1226,573;48,14815;19,458
1229,583;40,74074;19,41037
1232,591;40,74074;19,363
1235,605;40,74074;19,53159
1238,611;40,74074;19,48419
1241,62;40,74074;19,43697
1244,627;40,74074;19,49714
1247,657;40,74074;19,44979
1250,663;40,74074;19,40305
1253,676;40,74074;19,35641
1256,68;40,74074;19,31014
1259,701;40,74074;19,26383
1262,724;44,44444;19,32331
1265,732;44,44444;19,27738
1268,736;44,44444;19,23174
1271,743;44,44444;19,29111
1274,745;44,44444;19,45487
1277,753;44,44444;19,40907
1280,769;44,44444;19,36336
1283,791;44,44444;19,31778
1286,792;44,44444;19,27273
1289,808;44,44444;19,22767
1292,83;44,44444;19,28586
1295,839;44,44444;19,34396
1298,842;44,44444;19,4019
1301,848;44,44444;19,35709
1304,869;48,14815;19,41447
1307,884;48,14815;19,3697
1310,886;48,14815;19,42706
1313,887;48,14815;19,48418
1316,911;48,14815;19,54068
1319,92;48,14815;19,49613
1322,929;48,14815;19,45178
1325,95;51,85185;19,40747
1328,973;51,85185;19,36332
1331,976;51,85185;19,31967
1334,989;48,14815;19,37595
1337,993;51,85185;19,33244
1341,012;62,96296;19,38834
1344,019;100;19,34497
1347,043;100;19,30154
1350,057;51,85185;19,35721
1353,075;51,85185;19,31404
1356,091;51,85185;19,3694
1359,099;55,55556;19,32652
1362,118;55,55556;19,28369
1365,119;55,55556;19,43665
1368,127;59,25926;19,39391
1371,134;59,25926;19,35138
1374,152;55,55556;19,40591
1377,159;55,55556;19,55717
1380,159;51,85185;19,61127
1383,168;51,85185;19,5686
1386,186;66,66666;19,526
1389,197;74,07407;19,48368
1392,206;62,96296;19,53734
1395,224;74,07407;19,49507
1398,243;66,66666;19,45299
1401,257;48,14815;19,41114
1404,265;40,74074;19,36956
1407,279;40,74074;19,32808
1410,297;44,44444;19,38125
1413,307;62,96296;19,43433
1416,314;62,96296;19,39306
1419,324;62,96296;19,35193
1422,335;62,96296;19,40471
1425,351;55,55556;19,45719
1428,356;62,96296;19,41626
1431,368;62,96296;19,3754
1434,386;51,85185;19,33463
1437,392;51,85185;19,2942
1440,408;51,85185;19,34637
