seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
650,8621;25,92593;14,1351
653,8817;22,22222;14,27373
656,8978;22,22222;14,2082
659,9022;22,22222;14,14351
662,9212;22,22222;14,0791
665,9273;14,81481;14,01554
668,9368;14,81481;13,95249
671,9637;14,81481;13,88964
674,9728;18,51852;14,02526
677,9769;18,51852;13,96311
680,9788;22,22222;13,90156
683,9796;22,22222;13,84057
686,9862;18,51852;13,77999
689,9899;18,51852;13,72001
693,0071;18,51852;13,85267
696,0136;22,22222;13,79283
699,0332;18,51852;13,73325
702,051;22,22222;13,67422
705,0725;22,22222;13,61562
708,0902;22,22222;13,55759
711,1018;25,92593;13,50018
714,1224;29,62963;13,62978
717,1282;33,33333;13,57265
720,1377;29,62963;13,51593
723,1387;29,62963;13,45984
726,1558;33,33333;13,40392
729,1605;37,03704;13,34868
732,1778;33,33333;13,29367
735,1928;33,33333;13,23916
738,2194;33,33333;13,18488
741,2325;33,33333;13,13128
744,2541;33,33333;13,07797
747,2715;33,33333;13,02516
750,2798;33,33333;13,15065
753,2932;33,33333;13,27504
756,3101;33,33333;13,39839
759,3164;37,03704;13,34534
762,3188;40,74074;13,29278
765,3329;37,03704;13,24042
768,3339;37,03704;13,36225
771,3344;37,03704;13,31027
774,356;37,03704;13,43052
777,361;37,03704;13,3786
780,3754;37,03704;13,49778
783,39;37,03704;13,44584
786,4117;37,03704;13,39417
789,4261;33,33333;13,51192
792,428;33,33333;13,46074
795,4468;37,03704;13,40965
798,4598;37,03704;13,52604
801,4782;37,03704;13,4751
804,4841;33,33333;13,42475
807,5015;25,92593;13,37459
810,5065;25,92593;13,325
813,5186;25,92593;13,27567
816,536;25,92593;13,3899
819,5583;25,92593;13,34052
822,5584;22,22222;13,29186
825,5612;22,22222;13,24352
828,5626;22,22222;13,19554
831,5742;22,22222;13,14775
834,5897;18,51852;13,10025
837,6109;18,51852;13,053
840,6243;18,51852;13,00621
843,639;18,51852;13,11777
846,6479;18,51852;13,07116
849,6587;18,51852;13,02484
852,6767;22,22222;13,13511
855,6904;22,22222;13,08885
858,7059;22,22222;13,19815
861,7242;25,92593;13,15193
864,7258;25,92593;13,10627
867,7493;25,92593;13,21426
870,7648;25,92593;13,1685
873,7724;25,92593;13,12317
876,785;22,22222;13,07808
879,8016;22,22222;13,03324
882,8143;25,92593;13,1398
885,8233;25,92593;13,09516
888,8261;25,92593;13,05092
891,8527;25,92593;13,00663
894,8755;22,22222;13,11169
897,8807;22,22222;13,06781
900,8968;29,62963;13,02406
903,9136;29,62963;12,98059
906,9251;33,33333;12,93749
909,952;33,33333;12,89445
912,9531;25,92593;12,85207
915,9574;40,74074;12,80991
918,9762;37,03704;12,76783
921,9904;33,33333;12,8707
925,0065;33,33333;12,82874
